url,image,name,price
https://www.electronicmusicworks.com/eurorack/step-modulator.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/t/step_modulator_b.jpg,STEP MODULATOR,"
                                            MSRP $119.00                                    "
https://www.electronicmusicworks.com/eurorack/sample-hold.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/_/s_h_b.jpg,SAMPLE & HOLD,"
                                            MSRP $148.00                                    "
https://www.electronicmusicworks.com/eurorack/vca.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vca_b.jpg,VCA,"
                                            MSRP $96.00                                    "
https://www.electronicmusicworks.com/eurorack/vca-s700.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vca_s700.jpg,VCA S700,"
                                            MSRP $114.00                                    "
https://www.electronicmusicworks.com/eurorack/stereo-vca.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/b/8/b8f5d5b3-7de9-4be0-8732-4830f733856f.jpg,STEREO VCA,"
                                            MSRP $92.00                                    "
https://www.electronicmusicworks.com/eurorack/vca-101.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vca_101_b.jpg,VCA 101,"
                                            MSRP $78.00                                    "
https://www.electronicmusicworks.com/eurorack/vca-3x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vca_3x_b.jpg,VCA 3X,"
                                            MSRP $118.00                                    "
https://www.electronicmusicworks.com/eurorack/vca-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vca_4x_b.jpg,VCA 4X,"
                                            MSRP $139.00                                    "
https://www.electronicmusicworks.com/eurorack/vactrol-vca.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/a/vactrol_vca.jpg,VACTROL VCA,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/ar-3x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/r/ar_3x_b.jpg,AR 3X,"
                                            MSRP $112.00                                    "
